,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
1255,Book reservations at a highly rated  bar on 11/23/2031,,,,11/23/2031,,bar,,highly rated,,,,,,
1256,book a stuffed ham serving pizzeria in Independence Corner,stuffed ham,,Independence Corner,,,pizzeria,,,,,,,,
1257,book a brasserie with parking for 1,,,,,,brasserie,,,,,parking,,,1
1258,I want to book a table at a nearby  restaurant in Andorra for me and my kids .,,nearby,,,Andorra,restaurant,,,,me and my kids,,,,
1259,I really need a top-rated  restaurant that can seat 3 people in 1 minute from now.,,,,in 1 minute,,restaurant,,top-rated,,,,,,3
1260,Book a churrascaria restaurant that serves spring rolls for one person.,spring rolls,,,,,churrascaria restaurant,,,,,,,,one
1261,Book reservations at a restaurant for me and my ex husband in West Virginia,,,,,,restaurant,,,,me and my ex husband,,,West Virginia,
1262,Make me a reservation for a party of 2,,,,,,,,,,,,,,2
1263,book a diner for 1 in Green Isle,,,Green Isle,,,diner,,,,,,,,1
1264,book fast food that is highly rated,,,,,,fast food,,highly rated,,,,,,
1265,me and katharine would like to go eat at Jan. 22nd in IA,,,,Jan. 22nd,,,,,,me and katharine,,,IA,
1266,book Main Deli Steak House on february 13 in Serbia and Montenegro,,,,february 13,Serbia and Montenegro,,Main Deli Steak House,,,,,,,
1267,I want tables for 6 at a kosher  steakhouse  around  Kosovo,,around,,,Kosovo,steakhouse,,,kosher,,,,,6
1268,I need to book a restaurant that serves sundanese in Bonaire for 7,,,,,Bonaire,restaurant,,,sundanese,,,,,7
1269,Book a taverna that serves bengali for six at five,,,,five,,taverna,,,bengali,,,,,six
1270,I'm looking to book a table at a gastropub that serves vegetarian for me and my team,,,,,,gastropub,,,vegetarian,me and my team,,,,
1271,Please book me a table at a food court  faraway from Saint Kitts and Nevis .,,faraway,,,Saint Kitts and Nevis,food court,,,,,,,,
1272,I want to book a table at The Commons Restaurant in South Pekin  New Hampshire for a party of 10 on january the 24th,,,South Pekin,january the 24th,,,The Commons Restaurant,,,,,,New Hampshire,10
1273,Book a restaurant in Bouchon for 1,,,,,,restaurant,Bouchon,,,,,,,1
1274,book a restaurant for 5,,,,,,restaurant,,,,,,,,5
1275,book a spot at a crab  restaurant,crab,,,,,restaurant,,,,,,,,
1276,Book a reservation at a restaurant  nearby  their airbnb,,nearby,,,,restaurant,,,,,,their airbnb,,
1277,Book a reservation for Louisiana Fried Chicken  this winter in Taiwan,,,,this winter,Taiwan,,Louisiana Fried Chicken,,,,,,,
1278,book a restaurant in HI,,,,,,restaurant,,,,,,,HI,
1279,I want to book a bar in Bonaparte  Palau .,,,Bonaparte,,,bar,,,,,,,Palau,
1280,Can you make reservations at a tea house that serves fettucine ?,fettucine,,,,,tea house,,,,,,,,
1281,I want to book Meriton Grand Hotel Tallinn in New Jersey for four people.,,,,,,,Meriton Grand Hotel Tallinn,,,,,,New Jersey,four
1282,I want a table for eight in Yakima  Rhode Island,,,Yakima,,,,,,,,,,Rhode Island,eight
1283,Book a reservation for a restaurant serving wontons for ten people in Leopold,wontons,,Leopold,,,restaurant,,,,,,,,ten
1284,book at Tavern on the Green for in 1 minute in CO,,,,in 1 minute,,,Tavern on the Green,,,,,,CO,
1285,Book a reservation for a party of four  within the same area of Districts of Sweden,,within the same area,,,,,,,,,,Districts of Sweden,,four
1286,I need to reserve a table for me and my mom at the nearest restaurant in the state of MH .,,,,,,restaurant,,,,me and my mom,,,MH,
1287,set an reservation for a party of eight at the bar on 8/8/2039,,,,8/8/2039,,bar,,,,,,,,eight
1288,Book me a table for two in Oakes .,,,Oakes,,,,,,,,,,,two
1289,I need to book a table for 6 people at Montreal Pool Room in Croatia .,,,,,Croatia,,Montreal Pool Room,,,,,,,6
1290,"Reserve a table in Top of the Mark  Lambertville , Vermont .",,,Lambertville,,,,Top of the Mark,,,,,,Vermont,
1291,"I'm going to Herkimer and want some liver and onions and I need a table for bessie, antonia and lisa at a cafe around 10 AM",liver and onions,,Herkimer,10 AM,,cafe,,,,"bessie, antonia and lisa",,,,
1292,book a restaurant for november 19,,,,november 19,,restaurant,,,,,,,,
1293,Reserve a table at a restaurant with wifi in France,,,,,France,restaurant,,,,,wifi,,,
1294,Can you make reservations for two people somewhere distant from Sutphin Blvd,,distant,,,,,,,,,,Sutphin Blvd,,two
1295,"I need a table at somewhere within walking distance of NV on november the 24th, 2027",,within walking distance,,"november the 24th, 2027",,,,,,,,,NV,
1296,I need to book a trop̩zienne  restaurant  six hours from now,trop̩zienne,,,six hours from now,,restaurant,,,,,,,,
1297,I need a table in your position at churrascaria for a hot dog  in the same area,hot dog,in the same area,,,,churrascaria,,,,,,your position,,
1298,Book a table at Crown Candy Kitchen for lacy and I,,,,,,,Crown Candy Kitchen,,,lacy and I,,,,
1299,Book at table at a brasserie which serves padangnese food.,,,,,,brasserie,,,padangnese,,,,,
1300,I need to book a table for five at the Crooked House of Windsor .,,,,,,,Crooked House of Windsor,,,,,,,five
1301,make a reservation for 9 at a brasserie with parking,,,,,,brasserie,,,,,parking,,,9
1302,book a table today at a steakhouse for eight that serves sashimi,sashimi,,,today,,steakhouse,,,,,,,,eight
1303,I need a table at a cafe that serves baeckeoffe,baeckeoffe,,,,,cafe,,,,,,,,
1304,"Book a reservation for 1 at PM Park, Clear Lake, Iowa in Mongolia  in 1 hour",,,,in 1 hour,Mongolia,,"PM Park, Clear Lake, Iowa",,,,,,,1
1305,Book a restaurant in CA for my parents and I on oct. the seventeenth,,,,oct. the seventeenth,,restaurant,,,,my parents and I,,,CA,
1306,Book a table for a party of twelve in Lewisville  AMerican Samoa for a party of 7 at the Ballachulish House,,,Lewisville,twelve,,,Ballachulish House,,,,,,AMerican Samoa,7
1307,I need a table in Iron Gates  in one minute at the Weathervane Restaurant,,,Iron Gates,in one minute,,,Weathervane Restaurant,,,,,,,
1308,I need a table booking for a highly rated  sardinian  pub .,,,,,,pub,,highly rated,sardinian,,,,,
1309,Book a restaurant in seven in Fort McKinley,,,Fort McKinley,,,restaurant,,,,,,,,seven
1310,Book a table for three at a restaurant in Louisiana,,,,,,restaurant,,,,,,,Louisiana,three
1311,I'd like a table for 3 at an outdoor  restaurant,,,,,,restaurant,,,,,outdoor,,,3
1312,Book a popular  restaurant for two which is distant from Avalon .,,distant,,,,restaurant,,popular,,,,Avalon,,two
1313,"book Guenther House for 6 on Oct. 24, 2035 in Waddy",,,Waddy,"Oct. 24, 2035",,,Guenther House,,,,,,,6
1314,Find a table for 2 at a restaurant in Saint Vincent and the Grenadines,,,,,Saint Vincent and the Grenadines,restaurant,,,,,,,,2
1315,book cornelia and bettie a table at a brasserie restaurant in Colombia,,,,,Colombia,brasserie restaurant,,,,cornelia and bettie,,,,
1316,book a spot for my colleague and I at a pizzeria with a pool in Owings Mills  Wisconsin,,,Owings Mills,,,pizzeria,,,,my colleague and I,pool,,Wisconsin,
1317,I'd like to eat english cuisine at a restaurant in Ettrick,,,Ettrick,,,restaurant,,,english,,,,,
1318,reserve a table for two at the restaurant at 9 pm,,,,9 pm,,restaurant,,,,,,,,two
1319,book for my girlfriend and I for truffade at a gastropub in West Virginia,truffade,,,,,gastropub,,,,my girlfriend and I,,,West Virginia,
1320,I need a table for six pm for me and my step daughter at Cafe Rouge,,,,six pm,,,Cafe Rouge,,,me and my step daughter,,,,
1321,Book a restaurant for 7 people.,,,,,,restaurant,,,,,,,,7
1322,Book a table for nine people in NJ .,,,,,,,,,,,,,NJ,nine
1323,"In Apr. , I'd like to eat at a pub  Manack  Montana with 4 people",,,Manack,Apr.,,pub,,,,,,,Montana,4
1324,Book a tavern in Rhode Island that serves saucisse .,saucisse,,,,,tavern,,,,,,,Rhode Island,
1325,On 10/14/2026 I have two people to eat at Coney Island Hot Dog Stand,,,,10/14/2026,,,Coney Island Hot Dog Stand,,,,,,,two
1326,I want to book a restaurant for nine with wifi,,,,,,restaurant,,,,,wifi,,,nine
1327,I want to book a close  restaurant in SC for seven,,close,,,,restaurant,,,,,,,SC,seven
1328,I need a reservation for four at a restaurant,,,,,,restaurant,,,,,,,,four
1329,I need a reservation for four minutes from now for 3 people in the Falkland Islands,,,,four minutes from now,Falkland Islands,,,,,,,,,3
1330,Book a restaurant in Delhi  Arkansas for three people.,,,Delhi,,,restaurant,,,,,,,Arkansas,three
1331,I need a dinner reservation in three months for a restaurant in Hills and Dales .,,,Hills and Dales,in three months,,restaurant,,,,,,,,
1332,Find a table at a bar for milagros and I in Mount Pocono,,,Mount Pocono,,,bar,,,,milagros and I,,,,
1333,"Book something for my girlfriend and I at a food truck that has pizzas in Brookwood on October fifteenth, 2020",pizzas,,Brookwood,"October fifteenth, 2020",,food truck,,,,my girlfriend and I,,,,
1334,"renee sanders, marlene and jewel want to go to a gastropub in the spa",,,,,,gastropub,,,,"renee sanders, marlene and jewel",spa,,,
1335,Make me a reservation at a delicatessen that serves tofy for a party of four in AZ,tofy,,,,,delicatessen,,,,,,,AZ,four
1336,Need a table within the same area as Beach 105th St for a party of 6 ,,within the same area,,,,,,,,,,Beach 105th St,,6
1337,"on April the twenty-seventh, 2022 , I'd like to make reservations at a spanish  diner .",,,,"April the twenty-seventh, 2022",,diner,,,spanish,,,,,
1338,book a spot in Netherlands Antilles,,,,,Netherlands Antilles,,,,,,,,,
1339,book a food truck for greek food for 7,,,,,,food truck,,,greek,,,,,7
1340,"me and terrie need a table at a bar in Hypoluxo , UT",,,Hypoluxo,,,bar,,,,me and terrie,,,UT,
1341,I want to find parking next to a restaurant for 10,,,,,,restaurant,,,,,parking,,,10
1342,I need to book a table for three at a restaurant in South Sudan ,,,,,South Sudan,restaurant,,,,,,,,three
1343,I need a reservation for a brasserie place for a party of two,,,,,,brasserie,,,,,,,,two
1344,Book a table at a cuban  pub for 5 pm for a party of 7 in Virginia .,,,,5 pm,,pub,,,cuban,,,,Virginia,7
1345,I'd like to visit a pizzeria with a pool at fourteen o'clock .,,,,fourteen o'clock,,pizzeria,,,,,pool,,,
1346,I want to book a restaurant for eight in Harding .,,,Harding,,,restaurant,,,,,,,,eight
1347,book four people at a Madagascar  bar,,,,,Madagascar,bar,,,,,,,,four
1348,Make a reservation for 8 at a diner that serves haystack,haystack,,,,,diner,,,,,,,,8
1349,I'd like to eat within the same area of Lawrence St for a party of one,,within the same area,,,,,,,,,,Lawrence St,,one
1350,table for 4 in Sparks,,,Sparks,,,,,,,,,,,4
1351,book in Vermont at The Maisonette,,,,,,,The Maisonette,,,,,,Vermont,
1352,Where is Chips in Crouch,,,Crouch,,,,Chips,,,,,,,
1353,reserve a smoking room at the restaurant,,,,,,restaurant,,,,,smoking room,,,
1354,Book a table for four around midnight in Saint Pierre and Miquelon .,,,,midnight,Saint Pierre and Miquelon,,,,,,,,,four
1355,Book the Great House at Sonning  distant from Gun Hill Rd .,,distant,,,,,Great House at Sonning,,,,,Gun Hill Rd,,
1356,I need to book the best  food court in within the same area as OK that serves persian food for my ex husband and I,,within the same area,,,,food court,,best,persian,my ex husband and I,,,OK,
1357,Book a restaurant  in one minute for five people in Canal Fulton .,,,Canal Fulton,in one minute,,restaurant,,,,,,,,five
1358,I want to book seats for 2 at churrascaria using the internet,,,,,,churrascaria,,,,,internet,,,2
1359,book a joint for Feb. the seventh in Oklahoma  within walking distance for six that is highly rated,,within walking distance,,Feb. the seventh,,joint,,highly rated,,,,,Oklahoma,six
1360,Make a reservation for 7 people at a gastropub on Isle of Man .,,,,,Isle of Man,gastropub,,,,,,,,7
1361,Book a brasserie for me and my team at four am,,,,four am,,brasserie,,,,me and my team,,,,
1362,Book reservations at a tea house with esperanza and tommie  now,,,,now,,tea house,,,,esperanza and tommie,,,,
1363,book a bar in San Marino for five,,,,,San Marino,bar,,,,,,,,five
1364,I need a table in West Virginia for me and my baby at Jacob Wirth Restaurant,,,,,,,Jacob Wirth Restaurant,,,me and my baby,,,West Virginia,
1365,"Reserve a table for nine people at a caribbean  restaurant in White Creek , Utah .",,,White Creek,,,restaurant,,,caribbean,,,,Utah,nine
1366,book a restaurant for five in karnataka,,,,,,restaurant,,,karnataka,,,,,five
1367,in a week make a reservation for a table of 7 in District Of Columbia,,,,in a week,,,,,,,,,District Of Columbia,7
1368,book me a restaurant,,,,,,restaurant,,,,,,,,
1369,I want to book a table for a party of 4 at a taverna  next spring .,,,,next spring,,taverna,,,,,,,,4
1370,need a table at a highly rated  restaurant  within walking distance from downtown for luisa and I,,within walking distance,,,,restaurant,,highly rated,,luisa and I,,downtown,,
1371,book a southeastern brazilian cusinie pub,,,,,,pub,,,southeastern brazilian,,,,,
1372,Book the Atomic Cafe for ten people.,,,,,,,Atomic Cafe,,,,,,,ten
1373,Book a restaurant in FL in the city of Lochearn for my step son and I,,,Lochearn,,,restaurant,,,,my step son and I,,,FL,
1374,"Book a pub for two on jan. first, 2037 .",,,,"jan. first, 2037",,pub,,,,,,,,two
1375,restaurant named The Palm in Tennyson  MI,,,Tennyson,,,restaurant,The Palm,,,,,,MI,
1376,I need a table for four at ten PM . in Dodge Park,,,Dodge Park,ten PM,,,,,,,,,,four
1377,Book me a table at the highly rated  cafeteria in Federated States Of Micronesia,,,,,,cafeteria,,highly rated,,,,,Federated States Of Micronesia,
1378,Book a table at the Montreal Pool Room in North Carolina for 7 AM,,,,7 AM,,,Montreal Pool Room,,,,,,North Carolina,
1379,Book something at a highly rated and distant  cafe in Kazakhstan for two on April 21,,distant,,April 21,Kazakhstan,cafe,,highly rated,,,,,,two
1380,I'd like to book a restaurant that serves p̫chouse in Rocksprings .,p̫chouse,,Rocksprings,,,restaurant,,,,,,,,
1381,Please make reservations for me and my roommate somewhere in Bouvet Island,,,,,Bouvet Island,,,,,me and my roommate,,,,
1382,Book me a table at a romanian  brasserie in Rixford,,,Rixford,,,brasserie,,,romanian,,,,,
1383,book me a bar that has chicken fried bacon in Vermont,chicken fried bacon,,,,,bar,,,,,,,Vermont,
1384,"I need to book a table at a bar in Micronesia for tia, madeline and estela",,,,,Micronesia,bar,,,,"tia, madeline and estela",,,,
1385,Please make reservations in Yeager for seven am at a highly rated  indian  brasserie,,,Yeager,seven am,,brasserie,,highly rated,indian,,,,,
1386,me and my father in law want go eat gratin at a restaurant,gratin,,,,,restaurant,,,,me and my father in law,,,,
1387,book a manadonese  restaurant for two,,,,,,restaurant,,,manadonese,,,,,two
1388,book a table for 3 in Macao,,,,,Macao,,,,,,,,,3
1389,"I'm looking to bring shawn, marguerite and della to a place to eat at near  Rwanda .",,near,,,Rwanda,,,,,"shawn, marguerite and della",,,,
1390,book a spot at a tsipouro  restaurant in Connecticut,,,,,,restaurant,,,tsipouro,,,,Connecticut,
1391,Book a reservation for 9 people at a roman  pizzeria,,,,,,pizzeria,,,roman,,,,,9
1392,I'd like to eat at a popular  brasserie in Chile with a party of 5,,,,,Chile,brasserie,,popular,,,,,,5
1393,I need a reservation for Little Grill Collective for supper with eight people,,,,supper,,,Little Grill Collective,,,,,,,eight
1394,"I want to eat a a brasserie that serves muffuletta , where can I get a reservation?",muffuletta,,,,,brasserie,,,,,,,,
1395,"Book a table for six at The Cherry Street Tavern for January sixteenth, 2024",,,,"January sixteenth, 2024",,,The Cherry Street Tavern,,,,,,,six
1396,get me a reservation at a brasserie that serves jain in Pinto,,,Pinto,,,brasserie,,,jain,,,,,
1397,Find a table at a joint with northern brazilian food in GA,,,,,,joint,,,northern brazilian,,,,GA,
1398,Book an outdoor  restaurant .,,,,,,restaurant,,,,,outdoor,,,
1399,I'd like to eat at the best  southeastern brazilian  restaurant with five people,,,,,,restaurant,,best,southeastern brazilian,,,,,five
1400,table for 1 please,,,,,,,,,,,,,,1
1401,Book a restaurant in Geddes on march the twenty-seventh for me and my husband,,,Geddes,march the twenty-seventh,,restaurant,,,,me and my husband,,,,
1402,I need a top-rated  pub in Friona,,,Friona,,,pub,,top-rated,,,,,,
1403,I would like reservations for Cliff House  in seven months for six people.,,,,in seven months,,,Cliff House,,,,,,,six
1404,Reserve a table at a top-rated  restaurant for dinner in twelve hours .,,,,in twelve hours,,restaurant,,top-rated,,,,,,
